t,x,y
0.000,0.004016,0.309
0.033,0.02008,0.301
0.067,0.03614,0.301
0.133,0.0672,0.294
0.167,0.09491,0.286
0.200,0.113,0.285
0.233,0.136,0.280
0.267,0.161,0.274
0.300,0.187,0.267
0.333,0.216,0.259
0.367,0.245,0.250
0.400,0.277,0.238
0.433,0.311,0.225
0.467,0.349,0.212
0.500,0.388,0.198
0.533,0.431,0.187
0.567,0.476,0.178
0.600,0.523,0.174
0.633,0.569,0.175
0.667,0.616,0.178
0.700,0.662,0.183
0.733,0.706,0.189
0.767,0.748,0.197
0.800,0.789,0.205
0.833,0.829,0.211
0.867,0.868,0.216
0.900,0.905,0.220
0.933,0.943,0.219
0.967,0.981,0.216
1.000,1.020,0.207
1.033,1.060,0.194
1.067,1.102,0.179
1.100,1.145,0.165
1.133,1.193,0.159
1.167,1.241,0.158
1.200,1.288,0.165
1.233,1.332,0.175
