t,x,y
0.000,0.001898,0.302
0.033,0.01575,0.295
0.067,0.03155,0.291
0.100,0.04991,0.286
0.133,0.07013,0.282
0.167,0.09155,0.278
0.200,0.114,0.273
0.233,0.139,0.268
0.267,0.165,0.261
0.300,0.193,0.255
0.333,0.223,0.246
0.367,0.254,0.235
0.400,0.288,0.223
0.433,0.324,0.209
0.467,0.363,0.195
0.500,0.405,0.183
0.533,0.450,0.173
0.567,0.496,0.168
0.600,0.543,0.166
0.633,0.589,0.169
0.667,0.636,0.173
0.700,0.681,0.179
0.733,0.724,0.186
0.767,0.766,0.194
0.800,0.807,0.202
0.833,0.846,0.207
0.867,0.885,0.211
0.900,0.923,0.212
0.933,0.961,0.210
0.967,1.000,0.203
1.000,1.040,0.191
1.033,1.081,0.176
1.067,1.125,0.161
1.100,1.171,0.153
1.133,1.220,0.151
1.167,1.267,0.157
1.200,1.313,0.165
1.233,1.356,0.175
