t,x,y
0.000,0.005898,0.307
0.033,0.01769,0.304
0.067,0.02846,0.300
0.100,0.04209,0.296
0.133,0.05704,0.293
0.167,0.07398,0.290
0.200,0.09259,0.286
0.233,0.113,0.281
0.267,0.135,0.276
0.300,0.159,0.271
0.333,0.183,0.263
0.367,0.210,0.255
0.400,0.239,0.246
0.433,0.270,0.235
0.467,0.303,0.223
0.500,0.338,0.209
0.533,0.377,0.196
0.567,0.418,0.185
0.600,0.462,0.176
0.633,0.507,0.172
0.667,0.553,0.170
0.700,0.598,0.173
0.733,0.643,0.176
0.767,0.687,0.182
0.800,0.728,0.188
0.833,0.769,0.195
0.867,0.808,0.202
0.900,0.846,0.207
0.933,0.883,0.211
0.967,0.919,0.212
1.000,0.956,0.210
1.033,0.994,0.204
1.067,1.031,0.192
1.100,1.070,0.178
1.133,1.111,0.162
1.167,1.156,0.150
1.200,1.203,0.146
1.233,1.250,0.150
1.267,1.295,0.157
1.300,1.339,0.166
1.333,1.382,0.172
