t,x,y
0.000,0.008147,0.305
0.033,0.01882,0.307
0.067,0.03010,0.302
0.100,0.04414,0.299
0.133,0.06006,0.295
0.167,0.07757,0.292
0.200,0.09606,0.288
0.233,0.116,0.283
0.267,0.138,0.278
0.300,0.162,0.272
0.333,0.187,0.265
0.367,0.214,0.257
0.400,0.243,0.248
0.433,0.274,0.236
0.467,0.308,0.224
0.500,0.344,0.210
0.533,0.382,0.197
0.567,0.424,0.185
0.600,0.469,0.177
0.633,0.515,0.171
0.667,0.561,0.170
0.700,0.607,0.174
0.733,0.652,0.177
0.767,0.696,0.183
0.800,0.739,0.189
0.833,0.780,0.196
0.867,0.819,0.203
0.900,0.858,0.209
0.933,0.895,0.213
0.967,0.932,0.214
1.000,0.969,0.211
1.033,1.007,0.206
1.067,1.044,0.194
1.100,1.084,0.179
1.133,1.126,0.163
1.167,1.171,0.151
1.200,1.219,0.147
1.233,1.266,0.151
1.267,1.312,0.159
1.300,1.356,0.167
