t,x,y
0.000,0.004132,0.293
0.033,0.01288,0.295
0.067,0.02529,0.292
0.100,0.03775,0.288
0.133,0.05235,0.284
0.167,0.06904,0.280
0.200,0.08700,0.277
0.233,0.107,0.272
0.267,0.128,0.267
0.300,0.151,0.263
0.333,0.175,0.257
0.367,0.201,0.250
0.400,0.229,0.241
0.433,0.260,0.231
0.467,0.292,0.219
0.500,0.326,0.207
0.533,0.364,0.194
0.567,0.403,0.182
0.600,0.446,0.172
0.633,0.490,0.166
0.667,0.536,0.164
0.700,0.582,0.166
0.733,0.626,0.170
0.767,0.670,0.175
0.800,0.712,0.182
0.833,0.752,0.189
0.867,0.791,0.197
0.900,0.830,0.202
0.933,0.867,0.206
0.967,0.904,0.208
1.000,0.940,0.207
1.033,0.977,0.205
1.067,1.015,0.194
1.100,1.054,0.181
1.133,1.095,0.166
1.167,1.139,0.153
1.200,1.185,0.147
1.233,1.232,0.149
1.267,1.278,0.156
1.300,1.322,0.165
1.333,1.365,0.173
