t,x,y
0.000,0.006085,0.310
0.033,0.01623,0.304
0.067,0.02751,0.300
0.100,0.04130,0.297
0.133,0.05717,0.293
0.167,0.07470,0.289
0.200,0.09319,0.285
0.233,0.113,0.281
0.267,0.135,0.276
0.300,0.159,0.270
0.333,0.184,0.263
0.367,0.211,0.255
0.400,0.239,0.246
0.433,0.271,0.235
0.467,0.304,0.222
0.500,0.340,0.208
0.533,0.378,0.195
0.567,0.420,0.184
0.600,0.465,0.175
0.633,0.510,0.170
0.667,0.556,0.168
0.700,0.602,0.172
0.733,0.647,0.175
0.767,0.691,0.181
0.800,0.733,0.188
0.833,0.774,0.195
0.867,0.813,0.202
0.900,0.852,0.207
0.933,0.889,0.211
0.967,0.925,0.211
1.000,0.963,0.209
1.033,1.000,0.204
1.067,1.038,0.192
1.100,1.077,0.177
1.133,1.119,0.162
1.167,1.164,0.149
1.200,1.212,0.145
1.233,1.259,0.149
1.267,1.304,0.157
1.300,1.348,0.165
1.333,1.393,0.171
