t,x,y
0.200,0.118,0.66
0.233,0.142,0.60
0.267,0.168,0.53
0.300,0.195,0.44
0.333,0.223,0.35
0.367,0.254,0.24
0.400,0.288,0.11
0.433,0.325,0.98
0.467,0.366,0.88
0.500,0.410,0.75
0.533,0.454,0.71
0.567,0.499,0.70
0.600,0.545,0.73
0.633,0.588,0.73
0.667,0.631,0.79
0.700,0.672,0.86
0.733,0.712,0.93
0.767,0.751,0.00
0.800,0.790,0.06
0.833,0.828,0.11
0.867,0.864,0.12
0.900,0.902,0.11
0.933,0.944,0.06
0.967,0.975,0.99
1.000,1.015,0.86
1.033,1.057,0.72
1.067,1.102,0.60
1.100,1.151,0.57
1.133,1.197,0.61
1.167,1.242,0.68
1.200,1.286,0.77
