t,x,y
0.000,0.004193,0.298
0.017,0.02062,0.296
0.033,0.03515,0.292
0.050,0.05217,0.288
0.067,0.07116,0.284
0.083,0.09169,0.280
0.100,0.114,0.276
0.117,0.137,0.271
0.133,0.162,0.265
0.150,0.188,0.258
0.167,0.217,0.249
0.183,0.247,0.239
0.200,0.280,0.228
0.217,0.315,0.215
0.233,0.352,0.201
0.250,0.393,0.188
0.267,0.435,0.177
0.283,0.481,0.171
0.300,0.528,0.167
0.317,0.574,0.168
0.333,0.620,0.172
0.350,0.666,0.178
0.367,0.709,0.184
0.383,0.752,0.192
0.400,0.793,0.201
0.417,0.832,0.206
0.433,0.870,0.211
0.450,0.908,0.213
0.467,0.946,0.212
0.483,0.983,0.209
0.500,1.023,0.199
0.517,1.063,0.185
0.533,1.105,0.170
0.550,1.150,0.156
0.567,1.199,0.149
0.583,1.247,0.151
0.600,1.294,0.159
0.617,1.339,0.168
0.633,1.385,0.176
